Owner,Collateral Type,Collateral Amount,Debt,Successfully Liquidated
SP1TW2MNREE41DMPEGARWZ4DV41JQCD21YWZ73EEZ,STX-A,172680,64755,True
SP3C07TVBKY1QGP0D78NV9SRBV7ZDPFA6QERTPEDH,STX-A,1452000000,700000000,True
SP34J4X76MEBK9KG45ZFG8ZQSDENY7PSV4A5E91EW,STX-A,300000000,165000000,True
SP25Q443ZQ7QV539NH8Z0JAQA5AD40TYSXDKXADCQ,STX-A,17000000,9000000,True
SP1EF64D5ZWF4HEBHSPJPX68M9DA5XYH6V97RBXCH,STX-B,100000000,60000000,True
SP2MW8KQQ60MAR6ST0EJ161XQFJSSDR7VS79T8XQY,STX-A,451000000,200000000,True
SP15Z6EE2HWYNXT256K89A5R75XRV2RH0E5PE5TVG,STX-A,300000000,120000000,True
SPVXCKQY7CTNP1H3VVN4M9R3S1R8QJF66P555F8N,STX-A,680010323,500000000,True
SP1EVTVMRKYXYV04HJH3XJPHK5Z540M8AGK8Y2FE4,STX-A,4863610456,2536000000,True
,,0,0,False
SP2PFNBABRMJGWC8MMQW4Z8Y6MGA7CVMZJAM9DHR0,STX-A,100000000,30000000,True
SP3Y1S03R3FEARM11YT2RF72ASK7JSP81VWT4TFPR,STX-A,117880,43203,True
,,0,0,False
SP2X95E14XS6PEM031NX8MQDSQ02ZA0Q41B93YFJE,STX-A,1000000000,580000000,True
SP39QYDCS647Q0CZCHFRN9P2WFNY2PQBSAZVZ1JG0,STX-B,6563236,2672112,True
SP1F4B1X5J913CKAEHA99DYD6NHYNCPZ9751WPJZ3,STX-A,2500000000,1000000000,True
SPBM9BTEYFTC50HTEGWHG39D7S7JHHBRYQ3Q159V,STX-A,845670725,400574436,True
SP2TPJBHCWM5QWRQ6TGY1D91H91DMHHJ20PW4JP83,STX-A,50000000,20000000,True
SP2SWNHT2Z548J90EY7M5QCW1GXSZ0PH0CR954SXB,STX-A,499486824,115027100,True
SP1P89TEC03E29V5MYJBSCC8KWR1A243ZG2R8DYB1,STX-A,1000000000,291000000,True
SP2A7E530WYEWPAPX4V1W5BQBK3K4DBVZJR6FCQZJ,STX-A,11756356625,5885256800,True
SPDVAGX3EGETB7BJ6737FRS4DTNXC7CVSNFK7TSR,STX-A,7000000,2000000,True
SP2K2Y277FZ48627S2PGDH0Q0J0GBJCYSY4QYNPK6,STX-A,2000000000,776130562,True
SP3T23YN6MBF44YNV910FD8JNMN1NZYGKG3MMZ73X,STX-A,5000000,2000000,True
SP1Z938956ACRTVVK7KBVXH3TQE1G5PWBN4HX1CGW,STX-A,600000000,170000000,True
SP2C8PH2TTY1N5P89WPQEHW1J44BP8ZTN2B0N6XZD,STX-A,63000000,32000000,True
SP7BSGQR7G69XH1W0CWDA849DQY04YBFKN0KZW72,STX-A,64913,21759,True
SP4KEPXSSM3WH36N3526QQHMP79XG39JMJY1F0N1,STX-A,69413,22116,True
SP21M0HMJ29X3NPCX2EJMRRTGZXSS5ZJWV8BJYC8M,STX-A,932213725,236107481,True
SPYRVFBN2ZJM5MGBEC236N22550JX31CVNE05SCR,XBTC-A,45369251,7792810315,True
SP2MBFQ3DGMQR0Z4PRNY48HEPRRF9RT28MHY14SQP,STX-B,120000000,77448240,True
SP32NTG209B861QBHF4TH0C86QB0A12TY2F16WHMY,STX-A,100000000,52000000,True
SPNKK0WTGPHF75JHV2X4N47YWBZTZ95Y2CJ0WAH4,STX-B,50000000,28011067,True
SP2NQDTN4KNFPSRJB35Y2E0FHH6HBF9YTJQ3002XG,STX-A,10000000,5000000,True
SPC5XDPYK8ZXNDS0FNP31RKG5P7K4JT8JMY3XAJ1,STX-A,19000000,10000000,True
SP3DPXHEAQ34YVNC7NADP1BSYXWSDTW9KW6PGTAM0,STX-A,300000000,153000000,True
SP3YMA76EEMEJF84G4DVQ5DDTZVTFWNXSEZSEZEKJ,STX-B,333331,172521,False
,,0,0,False
SP15W83Y5K9X0H96RGX050GX2YFXVFCZTKAAT00H5,STX-A,3073577935,760765518,True
SP3QGM78R5MHE06380K64X6J43VZ0YN9C520PTWY2,STX-A,1668732451,858825050,False
SP2BEBDJYKG9QVMF87QEFZMATRBV9ME2ACFA5AY1R,STX-B,1024838924,650000000,False
SP3DVRHY4JSHEHQFRBCDDE3M30QGHW4BJMPF331H9,STX-A,1000000000,571000000,True
SPZJ3XNGW95D5JF83VQVMW27DRE9GRR70GPH36Q4,STX-A,7000000,3000000,True
SPDVAGX3EGETB7BJ6737FRS4DTNXC7CVSNFK7TSR,STX-B,5000000,3000000,True
SP31F56GFT7VSV6HCEE3NW2XNNRVQ8TRSK8MQABEJ,STX-B,5100000000,3186000000,True
SP1JQNYF9ZYCDYZ36BWZFR4BAQYBGTKPTKXDC85SY,XBTC-A,27028,6000000,True
SPAYA713AE0GCDEFTR0T6K493V1HC3EK3DBNJFW0,STX-A,550580000,223089275,True
SP3Y7N4NKS5M7V1RRK677AJVVP8GH0W2Q8MS4TRC9,STX-A,515022353,200000000,True
SP3THKNVVSBKVS4M82PQ6WPFT74D96K0XD28T1Q10,STX-A,2020969600,750000000,True
SP32AEEF6WW5Y0NMJ1S8SBSZDAY8R5J32NBZFPKKZ,STX-B,14220572439,8165000000,True
SP3Y07R709JXM8TCP5F9PZ41R11Q84FZ69EJ0M59R,STX-A,8000000,2000000,True
SP3BKCV53RH3XBX7NBB50BEZ1PBS54NEJ2G9TN8W1,STX-A,65113,21813,False
SPGATZ86JD8WNE6CR5H157ERWD3QG10KMY9SDHYH,STX-A,825753700,396727531,True
SP2G8V5G9CAQ73XMX56VENNTHH7QNZRPR55YMAYBY,STX-A,877575905,464000000,True
SP2NC2AQ0S5CNYQNXSQYTKTNK9YQDGPQ2CQ578XVV,STX-A,1418288970,445523710,True
SP1Z2ZBDTPWKB0W2NWN96N8BBNMCVS8804BAXQG62,STX-A,162362,43899,True
SP1EVTVMRKYXYV04HJH3XJPHK5Z540M8AGK8Y2FE4,STX-A,2685230514,934806457,True
